縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
高雄市,811,高雄市楠梓區,22.7175372,120.3031871,"Nanzi Dist., Kaohsiung City",高市
高雄市,812,高雄市小港區,22.5553185,120.3608455,"Xiaogang Dist., Kaohsiung City",高市
高雄市,813,高雄市左營區,22.6877358,120.2916524,"Zuoying Dist., Kaohsiung City",高市
高雄市,814,高雄市仁武區,22.7057951,120.3423604,"Renwu Dist., Kaohsiung City",高市
高雄市,815,高雄市大社區,22.7377083,120.3608455,"Dashe Dist., Kaohsiung City",高市
高雄市,820,高雄市岡山區,22.8016472,120.2858846,"Gangshan Dist., Kaohsiung City",高市
高雄市,821,高雄市路竹區,22.8494042,120.2628111,"Luzhu Dist., Kaohsiung City",高市
高雄市,822,高雄市阿蓮區,22.8778606,120.3320195,"Alian Dist., Kaohsiung City",高市
高雄市,823,高雄市田寮區,22.8633474,120.4011911,"Tianliao Dist., Kaohsiung City",高市
高雄市,824,高雄市燕巢區,22.7823697,120.378138,"Yanchao Dist., Kaohsiung City",高市
高雄市,825,高雄市橋頭區,22.7539031,120.3089574,"Qiaotou Dist., Kaohsiung City",高市
高雄市,826,高雄市梓官區,22.7486104,120.2570421,"Ziguan Dist., Kaohsiung City",高市
高雄市,827,高雄市彌陀區,22.7832231,120.2455033,"Mituo Dist., Kaohsiung City",高市
高雄市,828,高雄市永安區,22.8112691,120.2397336,"Yong'an Dist., Kaohsiung City",高市
高雄市,829,高雄市湖內區,22.8954184,120.2224227,"Hunei Dist., Kaohsiung City",高市
高雄市,830,高雄市鳳山區,22.6113591,120.3493158,"Fengshan Dist., Kaohsiung City",高市
高雄市,831,高雄市大寮區,22.584481,120.4011911,"Daliao Dist., Kaohsiung City",高市
高雄市,832,高雄市林園區,22.4986756,120.4011911,"Linyuan Dist., Kaohsiung City",高市
高雄市,833,高雄市鳥松區,22.6602052,120.3723741,"Niaosong Dist., Kaohsiung City",高市
高雄市,840,高雄市大樹區,22.708371,120.4242401,"Dashu Dist., Kaohsiung City",高市
高雄市,842,高雄市旗山區,22.8702492,120.4703258,"Qishan Dist., Kaohsiung City",高市
高雄市,843,高雄市美濃區,22.885385,120.5509358,"Meinong Dist., Kaohsiung City",高市
高雄市,844,高雄市六龜區,23.0026195,120.6545022,"Liugui Dist., Kaohsiung City",高市
高雄市,845,高雄市內門區,22.9560087,120.4703258,"Neimen Dist., Kaohsiung City",高市
高雄市,846,高雄市杉林區,23.0007902,120.5624474,"Shanlin Dist., Kaohsiung City",高市
高雄市,847,高雄市甲仙區,23.114592,120.6314948,"Jiaxian Dist., Kaohsiung City",高市
高雄市,848,高雄市桃源區,23.2280755,120.8498944,"Taoyuan Dist., Kaohsiung City",高市
高雄市,849,高雄市那瑪夏區,23.2742978,120.734995,"Namaxia Dist., Kaohsiung City",高市
高雄市,851,高雄市茂林區,22.9319405,120.734995,"Maolin Dist., Kaohsiung City",高市
高雄市,852,高雄市茄萣區,22.8763476,120.2108809,"Qieding Dist., Kaohsiung City",高市
屏東縣,900,屏東縣屏東市,22.6558442,120.4703258,"Pingtung City, Pingtung County",屏縣
屏東縣,901,屏東縣三地門鄉,22.8133088,120.6890055,"Sandimen Township, Pingtung County",屏縣
屏東縣,902,屏東縣霧台鄉,22.7509887,120.7809676,"Wutai Township, Pingtung County",屏縣
屏東縣,903,屏東縣瑪家鄉,22.6903584,120.6378794,"Majia Township, Pingtung County",屏縣
